24000024,5.80,9.50,8.40,,,,,3.75,5.75,7.75,5.75
24000025,6.80,9.50,9.80,,,,,5.50,8.00,9.50,7.67
24000026,5.20,8.00,4.60,,,,,4.50,5.75,7.25,5.83
24000027,5.00,7.50,7.20,,,,,5.50,6.25,9.25,7.00
24000028,6.40,8.00,4.80,7.75,6.00,5.50,6.42,,,,
24000029,7.40,7.75,6.40,7.50,4.00,4.00,5.17,,,,
24000030,8.20,6.00,4.60,8.00,8.25,6.50,7.58,,,,
24000031,5.40,8.00,4.20,,,,,4.50,8.25,8.25,7.00
24000032,6.80,7.75,3.40,5.00,9.25,8.00,7.42,,,,
24000033,6.00,6.00,3.60,3.50,6.50,6.50,5.50,,,,
24000034,7.20,8.25,7.40,,,,,7.00,9.25,9.25,8.50
24000035,6.20,8.00,8.20,,,,,5.25,6.50,8.50,6.75
24000036,5.60,8.25,9.20,,,,,5.25,6.25,9.75,7.08
24000037,6.60,9.00,6.40,4.25,6.50,7.50,6.08,,,,
24000038,7.40,7.75,5.80,8.75,5.25,5.75,6.58,,,,
24000039,6.20,8.75,8.80,,,,,5.00,6.75,9.25,7.00
24000040,6.40,8.50,7.80,,,,,6.25,9.25,9.00,8.17
24000041,6.40,7.75,5.40,8.25,7.50,4.75,6.83,,,,
24000042,6.40,7.75,6.00,8.00,5.00,5.50,6.17,,,,
24000043,8.40,6.25,4.00,8.25,8.75,4.75,7.25,,,,
24000044,7.00,7.75,6.80,,,,,5.50,7.75,9.25,7.50
24000045,7.80,4.75,4.60,7.00,8.00,4.50,6.50,,,,
24000046,5.60,5.50,4.60,3.25,5.00,5.75,4.67,,,,
24000047,8.20,6.00,5.20,8.00,7.00,5.50,6.83,,,,
24000048,7.00,3.75,4.40,8.00,7.25,4.50,6.58,,,,
24000049,7.00,7.25,5.20,7.00,9.00,5.75,7.25,4.00,5.00,7.00,5.33
24000050,7.80,6.75,4.20,6.75,8.25,7.00,7.33,,,,
24000051,6.80,5.75,4.20,5.75,8.00,6.75,6.83,,,,
24000052,5.60,8.25,6.80,,,,,2.75,4.75,7.25,4.92
24000053,7.00,8.75,8.80,,,,,6.75,7.75,8.75,7.75
24000054,6.20,6.25,4.00,5.00,6.50,6.75,6.08,,,,
24000055,7.00,7.25,5.20,7.50,7.00,5.25,6.58,4.75,6.75,9.00,6.83
24000056,5.60,5.00,4.20,7.75,6.50,5.75,6.67,,,,
24000057,8.60,7.50,6.40,8.00,4.25,3.75,5.33,,,,
24000058,4.60,7.00,3.20,,,,,7.75,8.75,8.25,8.25
24000059,7.20,8.50,7.80,,,,,3.75,5.00,8.00,5.58
24000060,6.40,6.75,5.40,,,,,4.50,6.75,7.25,6.17
24000061,7.80,6.00,5.00,8.00,8.25,5.00,7.08,,,,
24000062,6.20,8.00,5.60,,,,,4.00,5.50,7.75,5.75
24000063,6.20,8.75,6.60,,,,,4.75,5.00,9.00,6.25
24000064,6.00,7.25,2.40,3.50,4.75,6.75,5.00,,,,
24000065,5.00,9.00,5.80,,,,,6.75,8.25,7.00,7.33
24000066,7.20,8.50,9.20,,,,,5.50,7.25,8.00,6.92
24000067,6.20,7.00,3.60,6.25,6.25,5.50,6.00,,,,
24000068,6.20,7.75,7.80,,,,,5.00,6.00,7.00,6.00
24000069,8.00,5.25,5.60,7.25,8.00,3.00,6.08,,,,
24000070,8.00,6.75,3.20,8.50,6.75,3.50,6.25,,,,
24000071,5.40,8.75,3.60,,,,,8.00,8.25,7.25,7.83
24000072,8.00,7.25,5.40,7.75,7.25,4.75,6.58,,,,
24000073,5.20,8.00,5.00,,,,,4.25,5.50,6.50,5.42
24000074,6.40,7.75,4.00,,,,,5.25,7.25,6.75,6.42
24000075,7.20,7.75,5.60,4.50,7.50,6.25,6.08,,,,
24000076,7.20,8.50,7.20,,,,,4.25,6.00,8.50,6.25
24000077,8.20,5.50,3.00,8.00,6.25,6.00,6.75,,,,
24000078,7.00,5.50,5.20,6.75,7.00,8.00,7.25,,,,
24000079,6.00,8.75,6.40,,,,,4.50,6.00,7.50,6.00
24000080,6.00,7.00,3.60,3.50,6.00,5.50,5.00,,,,
24000081,7.40,6.25,7.20,6.50,8.25,7.00,7.25,,,,
24000082,6.80,8.50,7.00,,,,,3.75,7.00,8.25,6.33
24000083,6.40,7.25,6.60,6.75,4.75,4.75,5.42,,,,
24000084,5.80,7.75,7.80,,,,,7.50,9.00,9.00,8.50
24000085,6.40,6.75,3.00,6.75,6.00,5.25,6.00,,,,
24000086,6.60,4.75,3.60,6.50,5.25,2.50,4.75,,,,
24000087,7.20,6.25,3.80,7.00,7.50,5.25,6.58,,,,
24000088,7.20,4.75,4.60,6.00,5.50,4.00,5.17,,,,
24000089,8.20,8.75,8.80,8.50,4.25,4.25,5.67,6.25,7.25,9.50,7.67
24000090,6.40,8.25,9.00,,,,,5.00,5.75,7.75,6.17
24000091,6.80,8.25,6.80,,,,,5.50,7.75,8.00,7.08
24000092,5.40,7.75,6.20,,,,,5.50,8.00,7.75,7.08
24000093,8.80,6.00,8.20,8.00,4.00,3.25,5.08,,,,
24000094,5.60,8.50,5.40,,,,,4.25,6.50,7.25,6.00
